serial,B1,I1,N1,G1,O1,B2,I2,N2,G2,O2,B3,I3,N3,G3,O3,B4,I4,N4,G4,O4,B5,I5,N5,G5,O5,firma
0070,5,20,37,56,68,3,23,44,47,66,9,22,LIBRE,46,75,14,26,33,59,71,1,16,36,51,72,995babc15bae7bc4fa5597ccc482a8254a225ca0563b24428238f6271720e75d
0071,7,28,37,50,67,10,19,40,53,72,13,30,LIBRE,46,66,15,17,45,51,75,2,23,42,60,74,4cf23a1e0724ead230ef9b653c94d3d0dc2e6055cd6a904f3710d4bd1f56f76f
0072,14,29,40,55,68,3,30,38,48,71,6,27,LIBRE,56,64,2,16,32,59,75,10,21,35,58,72,f66a9cdf25758244fbe5b55696169b622e744199c402594113c2749f3d507d84
0073,4,30,33,54,71,5,29,45,60,64,15,20,LIBRE,50,67,9,21,43,48,66,14,18,31,46,65,c4d80063d3f81912b968a6b7266f6956e4f2472b1533f00988e00898e2ca27b9
0074,14,24,41,58,66,4,30,42,56,73,7,22,LIBRE,52,62,2,17,44,50,67,5,20,31,55,74,26dca0842ba0b315a6b0bb95fe4c26d7aa27c4ae95e7bc46ab00ebf46063536a
0075,7,19,35,54,72,8,28,39,58,73,2,24,LIBRE,55,69,9,30,32,57,61,4,18,42,60,68,6fd60fda018c3f5fa7aae5d907ce140f7eef86269f1c033d2f6d35e55f352692
0076,5,23,40,50,68,10,28,43,57,75,6,22,LIBRE,56,62,13,19,38,58,69,12,20,45,51,63,d51dc8996c92ca180bed8f97c5d1279050da808704e4e53749c70cbd9438e7c7
0077,1,28,44,52,65,7,17,35,59,73,10,23,LIBRE,49,72,5,16,43,46,64,13,21,37,53,68,d09c4fbf85f90c0d3e4c1ffca5dc7af01132334145b54afb6c1955857328b161
0078,14,17,37,48,65,4,29,40,46,73,12,16,LIBRE,60,75,2,30,34,56,67,7,27,45,59,69,c69c71867f3b5fde7a77a69f6cb6720a7e3906480b1f59af3b90b1c4223ebc41
0079,3,28,36,50,63,13,30,44,59,74,15,16,LIBRE,51,67,10,24,43,57,73,9,20,33,46,64,cba1c40277fddb72c2540e6df8ec7f7049f0cdce8676876735360312c48fcb7e
0080,10,21,38,56,68,8,18,35,51,70,6,17,LIBRE,49,67,1,16,37,57,71,11,22,41,48,65,0c01ca97989a739e67163482102bef501f882a824d630bddae3e373094d07a76
0081,7,19,41,46,69,2,16,34,51,68,6,23,LIBRE,47,65,13,18,39,54,64,15,26,42,48,61,5de74fa2549617f36f61eb1d7d3ce75753c0a461731bdd74c72822ef7a245d47
0082,9,24,37,47,67,12,19,34,60,62,1,25,LIBRE,51,66,4,17,36,55,75,8,21,32,54,61,4a1010715793731af2ab76bfab4ce0af19b3736ab7f525cdd8d6cf6191ec6812
0083,15,22,43,48,64,11,21,38,54,75,10,18,LIBRE,51,70,12,24,42,60,68,14,17,31,46,67,f958576c03c970116ae93b344033431f5f17f88ed04faeac5136c60a7d01618f
0084,8,29,38,46,67,10,16,43,47,74,14,25,LIBRE,59,65,7,20,40,57,75,5,27,41,52,63,3294ad56fd121e9584ecc3e625c254e5222367789c00f3f4894674c10b1aa6cd
0085,2,25,37,50,64,12,24,32,60,74,4,28,LIBRE,57,69,1,27,44,56,73,5,30,40,48,70,47c20d46d43d42e49e07283a8331fb59a820de207addd50e1046a79769721e17
0086,8,17,32,56,63,1,16,33,53,70,3,19,LIBRE,55,72,2,30,43,60,75,9,28,36,58,74,877c9511839d6a2b7e004b9e83c52e526baf912374170ba973bb4bf5944da02b
0087,2,18,32,55,69,13,20,41,53,65,1,16,LIBRE,50,70,9,30,45,56,71,6,22,36,60,74,42285f6facce8f4a2846d29f443e3db49d605a3bd35507417a47cf6b96bdb4a7
0088,15,18,42,60,70,6,23,45,58,75,2,21,LIBRE,56,65,13,19,43,48,67,11,25,38,52,63,3ec8ccd8807fa0f4eaa73b3d09e553559985ed958583f787e6292a8638cdd944
0089,8,24,41,47,62,4,30,37,60,72,3,19,LIBRE,54,70,15,16,44,49,63,13,29,45,59,69,ca0a1a9e97429a64c390b47e5ecbbc858ccb1e637258d4f6725f25a8513755b5
0090,3,23,44,51,73,12,30,32,56,65,9,25,LIBRE,53,63,6,18,33,49,75,2,22,31,55,64,40e761c988d575ae948e68ca2bc32a3840b7fdc3ed92b09f76c9af6ce2b4a4d5
0091,2,27,37,59,75,5,30,34,58,70,6,17,LIBRE,48,67,13,26,40,52,66,3,28,43,46,74,e111f45d988171e63790c11c5817d2edb5069a1b0eae898f5b9d7b46ca6ffb07
0092,3,20,39,58,63,14,29,37,51,74,9,27,LIBRE,59,67,5,22,32,48,72,15,30,42,56,70,524c8dc973250b8e0b4a551b62406b1eb1f741732e764259165be1ecdaba1706
0093,4,21,35,46,67,13,25,34,48,64,8,27,LIBRE,50,74,3,16,45,58,62,15,30,36,53,69,320e48c47267bacf3248bac7eea0ccedcad09bbe999d449a0e8d4a791054568b
0094,15,25,31,60,74,2,17,42,47,66,1,30,LIBRE,55,71,5,24,45,56,72,11,26,33,51,70,1ef52b061fa2903593202241676ef270de9bad97e06ad61c6aaae94238787682
0095,11,19,32,54,73,4,20,44,56,64,3,17,LIBRE,55,70,7,18,35,58,61,1,27,43,59,74,27d11a5488037c6aef7900fa9f0d9e567e5e53d5ffa50d8d2c178dbd8ad2bd21
0096,13,19,43,59,62,10,24,35,52,72,2,29,LIBRE,49,67,8,25,31,53,70,7,30,37,55,63,3d01bbc94390f4115cec62c1ddf22f917a1244c6ccd06e366ff04a5ba94d58d0
0097,2,23,33,51,62,3,25,36,48,73,4,30,LIBRE,60,75,9,24,37,54,71,1,22,32,50,68,556a6acb6d26ab61be97c6c721768884bd74cd8f5b5818760ab790f8fc9572c1
0098,10,26,34,60,65,7,25,41,48,70,9,19,LIBRE,59,71,1,17,44,55,72,15,18,43,46,68,428fd344ff2a034040c66c8b991dc8aebf06d6b22535e31a298820e71f679d75
0099,1,17,39,53,71,5,21,32,52,75,3,25,LIBRE,57,74,15,18,37,54,69,6,29,34,48,73,433400753ce1d9a09abcf80c9c1c9629e412dfce92de5899dc385febc74c5546
0100,11,22,32,60,67,1,16,35,55,63,3,18,LIBRE,47,68,13,28,39,58,71,6,24,33,53,64,ab56501110b109ce857f07f88709b602a66537933367058f69f73d81c9740195
0101,8,18,45,60,66,10,17,41,52,63,4,25,LIBRE,48,72,13,23,43,58,73,9,24,38,53,65,9d00eba3c478fae583d9cbc27f7e535bbeec1c34fba27d338329aa7ae5cae1b7
0102,6,27,43,50,73,12,26,33,54,72,5,30,LIBRE,58,66,9,17,36,60,74,2,25,41,51,63,5a8fb0c5afe40fdcd2d7a047d1685526be020ed6b69f2dc79bceda00ff4b75af
0103,13,30,42,57,75,8,20,33,55,62,15,24,LIBRE,48,64,10,25,32,49,68,4,16,31,52,74,2df3276d59ec2df6513ea3eb0990a340353de719e0c239daac4678ae440ae36f
0104,10,28,37,54,73,9,25,36,58,72,13,19,LIBRE,57,75,5,18,35,51,65,14,22,43,50,67,3a48c0c7960291e278650ec4b06ae8258e17767611898223e0ac49dd5165c5b7
0105,8,30,31,48,61,2,16,36,58,73,11,29,LIBRE,59,68,1,17,35,46,63,13,23,37,47,66,63c4086263e9173d471d99962883651deac752a7b2fd02b066cf62b126a07d15
0106,12,27,40,53,71,1,24,39,47,61,10,20,LIBRE,46,69,5,25,43,48,72,8,17,44,56,62,bd58ef055abd10e81cea3b5ef9305af9fc8c19c7d21c9920ecd652af2c9304d7
0107,8,26,42,47,72,12,25,41,49,71,2,24,LIBRE,53,63,10,29,45,55,69,11,23,35,57,66,690706b8ac807c1906a3e9a4781db0e7a91895983e6e91d8574b901bb62e15b1
0108,8,29,37,49,63,1,28,40,46,68,5,30,LIBRE,52,67,7,27,45,58,69,10,26,41,57,70,7034a5ab804beee83326fb10b692eaef07486f7a6dcb44f2987f09d9ca4643eb
0109,13,26,32,58,61,5,19,35,55,73,7,21,LIBRE,47,71,10,20,34,57,63,14,16,39,53,67,e862bec29d001e7eacfdfdbe4e70d4f99a1ae51820e97c3f06a97fe63fe59ce4
0110,7,23,32,60,73,15,22,43,53,62,4,26,LIBRE,57,69,10,25,41,54,63,3,18,31,49,65,55c2d1c725936e741772e398b45acdd4190b572252007a91dd7bf5346c8189a6
0111,12,28,32,60,71,13,16,38,48,61,3,26,LIBRE,49,74,11,23,41,56,63,14,18,43,50,62,882074179dc3b7ddd819cbf450d36bd2dbcff9615286a0883c77c1008b0efe24
0112,6,24,42,60,67,2,17,35,55,69,13,23,LIBRE,56,72,14,26,38,49,74,10,25,37,57,68,49b59259f90883e2a23489df22b920550b811b2c1d183477ad798f23b9dedc5c
0113,4,25,39,56,70,6,27,32,52,69,13,22,LIBRE,58,68,11,21,44,47,66,12,19,36,60,64,0d49eaff9bd137861b40fc7cb84b9dc9a2775a884beaacbbeb8ca257f2306c5b
0114,11,22,33,51,67,9,18,45,53,70,14,30,LIBRE,60,65,15,20,31,52,66,7,24,41,47,71,d752128babec3e4881bc04d923a1607d7f15ab3dad98da29e3090db0ac4de6ab
0115,3,30,42,59,70,2,20,31,58,68,14,24,LIBRE,46,69,5,16,39,48,65,4,22,37,56,72,2432ceb87a9c3c3abaa22542e02bb0843e943e090d5460454719dd9f783018fe
0116,4,27,43,60,72,14,21,37,53,64,11,30,LIBRE,50,74,10,16,31,46,73,5,23,39,49,65,d6d8c76e912825d23a2573f3e63e110e4f62ef78492e5c8918d35e7755cb401e
0117,6,17,35,59,70,2,23,39,58,75,8,16,LIBRE,60,69,7,18,32,52,72,9,28,37,57,73,d4eb571da934f559acb4c950f70d218523b4012e3f974f47e6803c4a3b8cdfe6
0118,10,23,41,53,65,11,28,37,51,70,13,17,LIBRE,60,64,2,20,39,59,74,1,30,44,56,72,26f519218b73c5ab9f4f50ee265827fe8ab59f3374ab43d6e818ddc2076717d5
0119,8,18,41,51,62,15,30,44,46,64,1,26,LIBRE,52,75,5,29,31,55,69,7,28,42,60,70,bf5d205f6d63b6ae47f0bdc856910e19bef3c8ba206623d62c99c6ef311466aa
0120,1,30,39,46,65,11,18,32,57,74,10,16,LIBRE,59,68,12,27,41,54,73,13,24,31,60,63,5019cfe809d69628969e8e56ec95e5b14388888c13b7ce9f1964228f77092845
0121,3,23,43,58,70,14,27,41,50,68,7,28,LIBRE,48,61,8,19,34,55,72,13,30,35,51,73,c8d6b741957ca418229a8035f5c5029d9c0a60a9647a49e417ba2ac3538696b8
0122,4,30,38,54,67,10,27,36,46,69,7,18,LIBRE,59,63,9,29,43,52,72,8,21,32,50,75,41f2d755c9d1f7adc123d252ecdd1735bf361f839dbfff8eccfe0cd6a6029ffd
0123,15,25,44,51,62,13,23,37,52,74,12,27,LIBRE,49,71,1,30,36,59,73,3,21,34,54,70,751e984a39e7e130bb74cbca7093828934fce093a285a0bb8e052930138b1061
0124,7,25,33,50,63,1,30,44,54,64,5,22,LIBRE,53,73,14,26,32,47,71,10,24,41,46,66,3421b7b8a3e4bdfc165b354e3dd8073230b5a14c28ec5f50f400a80393ab6163
0125,2,20,34,52,74,11,25,39,55,68,6,24,LIBRE,49,61,4,22,43,58,72,9,19,36,46,75,93fcbde2663b9719c9b675ae4aa53f28699fff02aac64a18d3d2714d6991fde0
0126,13,21,36,57,74,15,26,44,47,70,5,25,LIBRE,51,67,4,30,33,53,61,10,16,37,54,69,64285940b95ecbe7ac20b3d312762d73711bb5c55ce7a435ca1737ab7464b018
0127,7,19,34,48,65,4,23,33,47,66,3,21,LIBRE,58,70,14,29,45,60,68,10,28,31,54,73,00ca71c5e6b6945b1b3c6008e53b124936bdefff917f84606ac4931c3cb8856e
0128,11,22,38,46,64,12,28,34,58,63,15,21,LIBRE,56,75,3,18,37,53,74,6,29,44,50,72,2fa36b788dca65cd284b9dfe99567b5646d68f691542a109a8e6ae7125289c72
0129,4,22,36,46,75,10,20,33,54,70,3,27,LIBRE,50,72,12,17,35,53,61,13,18,39,55,64,7cfe666b24903a2f91b8987817f34efd8b503bf73de60b3412ad7913895ee86a
0130,9,26,36,60,68,12,17,43,59,63,3,28,LIBRE,50,74,8,19,32,51,73,4,21,38,48,62,c28e7e94384ac2a2622a319bbcadebe36a15349b3b9bb0ae40be9ce5485551ff
0131,10,26,32,51,70,1,18,44,57,72,2,27,LIBRE,59,61,11,20,43,48,75,14,22,31,52,71,c46971ce2d953f253ca3849517e15e910f60f2e6d6f7e0ef9afd35a0843e67f7
0132,10,24,44,50,62,1,28,40,54,67,8,29,LIBRE,51,69,7,16,38,49,65,5,25,33,60,73,3c45d734b3220df70f0cf4a319eb42d0d753501a7ed16f3056ce27c381ac6f4e
0133,12,21,40,52,63,3,20,37,58,64,13,25,LIBRE,46,72,11,22,31,59,70,9,28,44,48,61,9c98aabb228bf229b48f1cef0376a91ca3d2611b82e801ab3a3e801039cf4216
0134,9,24,34,59,63,6,25,43,51,71,4,27,LIBRE,52,61,12,30,36,46,75,3,23,35,50,64,28c94efb9d5881c496067bd74821fc47ef17e16fc2eaf7ae0ee5e34219fa6b06
0135,5,18,42,52,73,11,28,40,51,69,1,27,LIBRE,60,67,9,25,31,50,61,14,24,39,59,71,8e1044947925d05fe9f98e9f0f964e378f5bcb256ac4bddd0878e0eb200fa6b7
0136,13,22,35,55,67,15,16,38,48,74,12,25,LIBRE,54,66,14,29,40,50,68,3,19,34,56,64,042c9e4394b572582899f1a741cf9be4cdd0b64c783e26475fc4bdab629d9b0b
0137,1,23,43,47,67,4,30,33,46,68,15,19,LIBRE,57,71,12,26,41,50,69,3,24,38,53,66,908670ef4a965353d8b6afdecadcbf0123f5e74ced265951dfaac923a49c224c
0138,10,17,40,51,64,2,22,34,54,72,9,29,LIBRE,53,70,15,25,39,46,71,4,28,45,47,67,045c382f32fcf05a14f9d7020f121f9d09e5be5501b36b0877342206f72dae3c
0139,14,30,36,54,61,4,24,39,59,69,1,19,LIBRE,60,65,3,18,41,51,70,10,29,40,48,67,d8f91a9e8f23b800001608270cf68dc7593d40097dbb5464469587ccbabbac08
